i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,7.30,,,,,,,,,,,,,,,,,,,
2,6.92,8.04,,,,,,,,,,,,,,,,,,
3,6.53,7.66,8.56,,,,,,,,,,,,,,,,,
4,6.15,7.28,8.18,9.07,,,,,,,,,,,,,,,,
5,5.77,6.89,7.80,8.69,9.56,,,,,,,,,,,,,,,
6,5.38,6.51,7.42,8.30,9.18,10.05,,,,,,,,,,,,,,
7,5.00,6.13,7.03,7.92,8.80,9.66,10.53,,,,,,,,,,,,,
8,4.62,5.75,6.65,7.54,8.41,9.28,10.14,11.00,,,,,,,,,,,,
9,4.24,5.36,6.27,7.15,8.03,8.90,9.76,10.62,11.48,,,,,,,,,,,
10,3.85,4.98,5.88,6.77,7.65,8.52,9.38,10.24,11.09,11.94,,,,,,,,,,
11,3.47,4.60,5.50,6.39,7.26,8.13,9.00,9.85,10.71,11.56,12.41,,,,,,,,,
12,3.09,4.21,5.12,6.01,6.88,7.75,8.61,9.47,10.33,11.18,12.03,12.88,,,,,,,,
13,2.70,3.83,4.74,5.62,6.50,7.37,8.23,9.09,9.94,10.80,11.65,12.49,13.34,,,,,,,
14,2.32,3.45,4.35,5.24,6.12,6.98,7.85,8.71,9.56,10.41,11.26,12.11,12.95,13.80,,,,,,
15,1.94,3.07,3.97,4.86,5.73,6.60,7.47,8.32,9.18,10.03,10.88,11.73,12.57,13.42,14.26,,,,,
16,1.56,2.68,3.59,4.47,5.35,6.22,7.08,7.94,8.80,9.65,10.50,11.34,12.19,13.03,13.87,14.71,,,,
17,1.17,2.30,3.21,4.09,4.97,5.84,6.70,7.56,8.41,9.26,10.11,10.96,11.81,12.65,13.49,14.33,15.17,,,
18,0.79,1.92,2.82,3.71,4.58,5.45,6.32,7.17,8.03,8.88,9.73,10.58,11.42,12.27,13.11,13.95,14.79,15.63,,
19,0.42,1.54,2.43,3.32,4.19,5.06,5.92,6.77,7.63,8.48,9.33,10.17,11.01,11.86,12.70,13.54,14.38,15.21,16.05,
20,0.00,0.99,1.79,2.59,3.39,4.19,4.99,5.79,6.59,7.39,8.19,8.99,9.79,10.59,11.39,12.19,12.99,13.79,14.59,15.39
